playerID,firstName,lastName,pos,birthYear,birthMon,birthDay,birthCountry,birthState,birthCity
barinmi01,Michal,Barinka,D,1984.0,6.0,12.0,Czech Republic,,Vyskov
barkeca01,Cam,Barker,D,1986.0,4.0,4.0,Canada,MB,Winnipeg
barkoal01,Aleksander,Barkov,C,1995.0,9.0,2.0,Finland,,Tampere
barnama01,Matthew,Barnaby,R,1973.0,5.0,4.0,Canada,ON,Ottawa
barnebl01,Blair,Barnes,R,1960.0,9.0,21.0,Canada,ON,Windsor
barneno01,Norm,Barnes,D,1953.0,8.0,24.0,Canada,ON,Toronto
barnery01,Ryan,Barnes,L,1980.0,1.0,30.0,Canada,ON,Dunnville
barnesc01,Scott,Barney,C,1979.0,3.0,27.0,Canada,ON,Oshawa
barnest01,Stu,Barnes,C,1970.0,12.0,25.0,Canada,AB,Spruce Grove
baronma01,Marco,Baron,G,1959.0,4.0,8.0,Canada,QC,Montreal
baronmu01,Murray,Baron,D,1967.0,6.0,1.0,Canada,BC,Prince George
baronno01,Normand,Baron,L,1957.0,12.0,15.0,Canada,QC,Verdun
barrado01,Doug,Barrault,R,1970.0,4.0,21.0,Canada,BC,Golden
barrato01,Tom,Barrasso,G,1965.0,3.0,31.0,USA,MA,Boston
barrda01,Dave,Barr,R,1960.0,11.0,30.0,Canada,ON,Toronto
barrefr01,Fred,Barrett,D,1950.0,1.0,26.0,Canada,ON,Ottawa
barrejo01,John,Barrett,D,1958.0,7.0,1.0,Canada,ON,Ottawa
barrile01,Len,Barrie,C,1969.0,6.0,4.0,Canada,BC,Kimberley
barrity01,Tyson,Barrie,D,1991.0,7.0,26.0,Canada,BC,Victoria
bartelu01,Lubos,Bartecko,L,1976.0,7.0,14.0,Slovakia,,Kezmarok
bartero01,Robin,Bartel,D,1961.0,5.0,16.0,Canada,SK,Drake
bartkma01,Matt,Bartkowski,D,1988.0,6.0,4.0,USA,PA,Pittsburgh
bartlvi01,Victor,Bartley,D,1988.0,2.0,17.0,Canada,ON,Ottawa
bartomi01,Milan,Bartovic,R,1981.0,4.0,9.0,Slovakia,,Trencin
bartope01,Peter,Bartos,L,1973.0,9.0,5.0,Czech Republic,,Martin
bartuos01,Oskars,Bartulis,D,1987.0,1.0,21.0,Latvia,,Ogre
barzama01,Mathew,Barzal,C,1997.0,5.0,26.0,Canada,BC,Coquitlam
bashkan01,Andrei,Bashkirov,L,1970.0,6.0,22.0,Russia,,Shelehov
bassco01,Cody,Bass,C,1987.0,1.0,7.0,Canada,ON,Owen Sound
bassebo01,Bob,Bassen,C,1965.0,5.0,6.0,Canada,AB,Calgary
bastry01,Ryan,Bast,D,1975.0,8.0,27.0,Canada,SK,Regina
batessh01,Shawn,Bates,C,1975.0,4.0,3.0,USA,MA,Melrose
bathefr01,Frank,Bathe,D,1954.0,9.0,27.0,Canada,ON,Oshawa
battaba01,Bates,Battaglia,L,1975.0,12.0,13.0,USA,IL,Chicago
batteje01,Jeff,Batters,D,1970.0,10.0,23.0,Canada,BC,Victoria
batyrru01,Ruslan,Batyrshin,D,1975.0,2.0,19.0,Russia,,Moscow
baumgke01,Ken,Baumgartner,L,1966.0,3.0,11.0,Canada,MB,Flin Flon
baumgno01,Nolan,Baumgartner,D,1976.0,3.0,23.0,Canada,AB,Calgary
baunky01,Kyle,Baun,R,1992.0,5.0,4.0,Canada,ON,Toronto
bautise01,Sergei,Bautin,D,1967.0,3.0,11.0,Belarus,,Rogachev
bawaro01,Robin,Bawa,R,1966.0,3.0,26.0,Canada,BC,Duncan
baxtepa01,Paul,Baxter,D,1955.0,10.0,28.0,Canada,MB,Winnipeg
baydary01,Ryan,Bayda,L,1980.0,12.0,9.0,Canada,SK,Saskatoon
beadlsa01,Sandy,Beadle,L,1960.0,7.0,12.0,Canada,SK,Regina
beaglja01,Jay,Beagle,C,1985.0,10.0,16.0,Canada,AB,Calgary
bearet01,Ethan,Bear,D,1997.0,6.0,26.0,Canada,SK,Regina
beaucfr01,Francois,Beauchemin,D,1980.0,6.0,4.0,Canada,QC,Sorel
beauder01,Eric,Beaudoin,L,1980.0,5.0,3.0,Canada,ON,Ottawa
beaudyv01,Yves,Beaudoin,D,1965.0,1.0,7.0,Canada,QC,Pointe-aux-Trembles
beaufma01,Mark,Beaufait,C,1970.0,5.0,13.0,USA,MI,Royal Oak
beaulna01,Nathan,Beaulieu,D,1992.0,12.0,5.0,Canada,ON,Strathroy
beaupdo01,Don,Beaupre,G,1961.0,9.0,19.0,Canada,ON,Kitchener
beaurst01,Stephane,Beauregard,G,1968.0,1.0,10.0,Canada,QC,Cowansville
beauvan01,Anthony,Beauvillier,L,1997.0,6.0,8.0,Canada,QC,Sorel-Tracy
beckba01,Barry,Beck,D,1957.0,6.0,3.0,Canada,BC,Vancouver
beckfch01,Chris,Beckford-Tseu,G,1984.0,6.0,22.0,Canada,ON,Toronto
beckta01,Taylor,Beck,L,1991.0,5.0,13.0,Canada,ON,St. Catharines
beddocl01,Clayton,Beddoes,C,1970.0,11.0,10.0,Canada,AB,Bentley
bednaja01,Jaroslav,Bednar,R,1976.0,11.0,8.0,Czech Republic,,Prague
beechkr01,Kris,Beech,C,1981.0,2.0,5.0,Canada,BC,Salmon Arm
beersbo01,Bob,Beers,D,1967.0,5.0,20.0,USA,PA,Pittsburgh
beersed01,Eddy,Beers,L,1959.0,10.0,12.0,Canada,BC,Merritt
beginst01,Steve,Begin,C,1978.0,6.0,14.0,Canada,QC,Trois-Rivieres
behrema01,Marc,Behrend,G,1961.0,1.0,11.0,USA,WI,Madison
bekarde01,Derek,Bekar,L,1975.0,9.0,15.0,Canada,BC,Burnaby
belakwa01,Wade,Belak,D,1976.0,7.0,3.0,Canada,SK,Saskatoon
belaner01,Eric,Belanger,C,1977.0,12.0,16.0,Canada,QC,Sherbrooke
belanfr01,Francis,Belanger,L,1978.0,1.0,15.0,Canada,QC,Bellefeuille
belanje01,Jesse,Belanger,C,1969.0,6.0,15.0,Canada,QC,St. Georges Beauce
belanke01,Ken,Belanger,L,1974.0,5.0,14.0,Canada,ON,Sault Ste. Marie
belanro01,Roger,Belanger,R,1965.0,12.0,1.0,Canada,ON,St. Catharines
belesma01,Matt,Beleskey,L,1988.0,6.0,7.0,Canada,ON,Windsor
belfoed01,Ed,Belfour,G,1965.0,4.0,21.0,Canada,MB,Carman
bellane01,Neil,Belland,D,1961.0,4.0,3.0,Canada,ON,Parry Sound
bellbr01,Bruce,Bell,D,1965.0,2.0,15.0,Canada,ON,Toronto
bellbr02,Brendan,Bell,D,1983.0,3.0,31.0,Canada,ON,Ottawa
bellebl01,Blake,Bellefeuille,C,1977.0,12.0,27.0,USA,MA,Framingham
bellebr01,Brett,Bellemore,D,1988.0,6.0,25.0,Canada,ON,Windsor
bellepi01,Pierre-Edouard,Bellemare,L,1985.0,3.0,6.0,France,,Le Blanc-Mesnil
bellesh01,Shawn,Belle,D,1985.0,1.0,3.0,Canada,AB,Edmonton
bellma01,Mark,Bell,L,1980.0,8.0,5.0,Canada,ON,St. Paul's
bellobr01,Brian,Bellows,L,1964.0,9.0,1.0,Canada,ON,St. Catharines
belovan01,Anton,Belov,D,1986.0,7.0,29.0,USSR,,Ryazan
belpelo01,Louis,Belpedio,D,1996.0,5.0,14.0,USA,IL,Skokie
bendaja01,Jan,Benda,C,1972.0,3.0,28.0,Belgium,,Reef
bennead01,Adam,Bennett,D,1971.0,3.0,30.0,Canada,ON,Georgetown
bennebe01,Beau,Bennett,R,1991.0,11.0,27.0,USA,CA,Gardena
benneri01,Rick,Bennett,L,1967.0,7.0,24.0,USA,MA,Springfield
bennesa01,Sam,Bennett,C,1996.0,6.0,20.0,Canada,ON,Holland Landing
bennibr01,Brian,Benning,D,1966.0,6.0,10.0,Canada,AB,Edmonton
benniji01,Jim,Benning,D,1963.0,4.0,29.0,Canada,AB,Edmonton
bennima01,Matt,Benning,D,1994.0,5.0,25.0,Canada,AB,Edmonton
bennja01,Jamie,Benn,L,1989.0,7.0,18.0,Canada,BC,Victoria
bennjo01,Jordie,Benn,D,1987.0,7.0,26.0,Canada,BC,Victoria
benoian01,Andre,Benoit,D,1984.0,6.0,6.0,Canada,ON,St. Albert
bentise01,Sean,Bentivoglio,L,1985.0,10.0,16.0,Canada,ON,Thorold
benysla01,Ladislav,Benysek,D,1975.0,3.0,25.0,Czech Republic,,Olomouc
beralpa01,Paul,Beraldo,C,1967.0,10.0,5.0,Canada,AB,Stoney Creek
beranjo01,Josef,Beranek,L,1969.0,10.0,25.0,Czech Republic,,Litvinov
berarbr01,Bryan,Berard,D,1977.0,3.0,5.0,USA,RI,Woonsocket
berehdr01,Drake,Berehowsky,D,1972.0,1.0,3.0,Canada,ON,Toronto
berenbu01,Bubba,Berenzweig,D,1977.0,8.0,8.0,USA,IL,Arlington Heights
berezpe01,Perry,Berezan,C,1964.0,12.0,5.0,Canada,AB,Edmonton
berezse01,Sergei,Berezin,L,1971.0,11.0,5.0,Russia,,Voskresensk
bergak01,Aki,Berg,D,1977.0,7.0,28.0,Finland,,Turku
bergbi01,Bill,Berg,L,1967.0,10.0,21.0,Canada,ON,St. Catharines
bergeje01,Jean-Claude,Bergeron,G,1968.0,10.0,14.0,Canada,QC,Hauterive
bergema01,Marc,Bergevin,D,1965.0,8.0,11.0,Canada,QC,Montreal
bergema02,Marc-Andre,Bergeron,D,1980.0,10.0,13.0,Canada,QC,St. Louis de France
bergemi02,Mike,Berger,D,1967.0,6.0,2.0,Canada,AB,Edmonton
bergepa01,Patrice,Bergeron,C,1985.0,7.0,24.0,Canada,QC,Ancienne-Lorette
bergese01,Sean,Bergenheim,L,1984.0,2.0,8.0,Finland,,Helsinki
bergeto01,Todd,Bergen,C,1963.0,7.0,11.0,Canada,SK,Prince Albert
bergfni01,Nicklas,Bergfors,R,1987.0,3.0,7.0,Sweden,,Sodertalje
bergkst01,Stefan,Bergkvist,D,1975.0,3.0,10.0,Sweden,,Leksand
berglbo01,Bob,Bergloff,D,1958.0,7.0,26.0,USA,ND,Dickinson
berglbo02,Bo,Berglund,F,1955.0,4.0,6.0,Sweden,,Sjavelad
berglch01,Christian,Berglund,C,1980.0,3.0,12.0,Sweden,,Orebro
berglpa01,Patrik,Berglund,C,1988.0,6.0,2.0,Sweden,,Vasteras
berglti01,Tim,Bergland,R,1965.0,1.0,11.0,USA,MN,Crookston
bergqjo01,Jonas,Bergqvist,R,1962.0,9.0,26.0,Sweden,,Hassleholm
berkhad01,Adam,Berkhoel,G,1981.0,5.0,16.0,USA,MN,St. Paul
bernhti01,Tim,Bernhardt,G,1958.0,1.0,17.0,Canada,ON,Sarnia
bernijo01,Jonathan,Bernier,G,1988.0,8.0,7.0,Canada,QC,Laval
bernise01,Serge,Bernier,C,1947.0,4.0,29.0,Canada,QC,Padoue
